Порядковый номер,Район,Адрес,Количество видеокамер
1.320,Адмиралтейский район,"Курляндская улица, дом 39, литера В",21
1.321,Адмиралтейский район,"Лабутина улица, дом 17",1
1.322,Адмиралтейский район,"Лабутина улица, дом 36",2
1.323,Адмиралтейский район,"Лабутина улица, дом 36",3
1.324,Адмиралтейский район,"Лабутина улица, дом 7",3
1.325,Адмиралтейский район,"Лабутина улица, дом 8",2
1.326,Адмиралтейский район,"Лермонтовский проспект, дом 10/53",1
1.327,Адмиралтейский район,"Лермонтовский проспект, дом 1/44",1
1.328,Адмиралтейский район,"Лермонтовский проспект, дом 14",3
1.329,Адмиралтейский район,"Лермонтовский проспект, дом 17",1
1.330,Адмиралтейский район,"Лермонтовский проспект, дом 30",3
1.331,Адмиралтейский район,"Лермонтовский проспект, дом 37",1
1.332,Адмиралтейский район,"Лермонтовский проспект, дом 4",1
1.333,Адмиралтейский район,"Лермонтовский проспект, дом 40-42",1
1.334,Адмиралтейский район,"Лермонтовский проспект, дом 40-42, литера Б",2
1.335,Адмиралтейский район,"Лермонтовский проспект, дом 40-42, литера В",4
1.336,Адмиралтейский район,"Лермонтовский проспект, дом 41, сооружение 1,",3
1.337,Адмиралтейский район,"Лермонтовский проспект, дом 43/1",9
1.338,Адмиралтейский район,"Лермонтовский проспект, дом 44",6
1.339,Адмиралтейский район,"Лермонтовский проспект, дом 49",17
1.340,Адмиралтейский район,"Лермонтовский проспект, дом 5/11",3
1.341,Адмиралтейский район,"Лермонтовский проспект, дом 54, литера Х",3
1.342,Адмиралтейский район,"Лермонтовский проспект, дом 55",6
1.343,Адмиралтейский район,"Лермонтовский проспект, дом 57-59",3
1.344,Адмиралтейский район,"Лермонтовский проспект, дом 57-59,",1
1.345,Адмиралтейский район,"Лермонтовский проспект, дом 9/55",3
1.346,Адмиралтейский район,"Лифляндская улица, дом 12",1
1.347,Адмиралтейский район,"Лифляндская улица, дом 12, литера Б",4
1.348,Адмиралтейский район,"Лифляндская улица, дом 12, литера В,",2
1.349,Адмиралтейский район,"Лифляндская улица, дом 12,",1
1.350,Адмиралтейский район,"Лифляндская улица, дом 12а",3
1.351,Адмиралтейский район,"Лифляндская улица, дом 3, литера Ц",2
1.352,Адмиралтейский район,"Лодыгина переулок, дом 1",1
1.353,Адмиралтейский район,"Люблинский переулок, дом 2/5",1
1.354,Адмиралтейский район,"Люблинский переулок, дом 4",1
1.355,Адмиралтейский район,"Макаренко переулок, дом 6-8",9
1.356,Адмиралтейский район,"Макаренко переулок, дом 7",12
1.357,Адмиралтейский район,"Малая Морская улица, дом 12",2
1.358,Адмиралтейский район,"Малая Морская улица, дом 15",5
1.359,Адмиралтейский район,"Малая Морская улица, дом 19",6
1.360,Адмиралтейский район,"Малая Морская улица, дом 23",3
1.361,Адмиралтейский район,"Малая Морская улица, дом 5",1
